id,type,name,address,latitude,longitude
55,2,"Rathaus Weißensee","Berliner Allee 252- 260,13088 Berlin",52.559965,13.470447
56,2,"Rathaus Hohenschönhausen","Egon-Erwin-Kisch-Straße 106,13059 Berlin",52.567483,13.514081
57,2,"Altes Stadthaus","Klosterstraße 47,10179 Berlin",52.517781,13.412189,8,200
58,2,"Rotes Rathaus","Rathausstraße,10178 Berlin",52.518281,13.408565
59,2,"Rathaus Köpenick","Alt-Köpenick 21,12555 Berlin",52.445423,13.574941
60,2,"Bezirksamt Kreuzberg","Yorckstraße 4,10965 Berlin",52.49346,13.385851
61,2,"Rathaus Friedrichshain","Frankfurter Allee 35-37,10247 Berlin",52.51529,13.46162
62,2,"Rathaus Wilmersdorf","",52.489694,13.313472
63,2,"VwZ Friedrichsfelde","",52.4971077,13.5207458
64,3,"Charité Virchow Klinikum (CVK)","Augustenburger Platz 1",52.5424137,13.3464547
